stand,plot,tree,dbh.2014,rad.inc,species,exp
110,15,12,25.3,9,psme,50
110,15,13,35.5,9,psme,50
110,15,14,26.8,6,psme,50
110,16,1,21.3,11,psme,50
110,16,2,28.2,10,psme,50
110,16,3,40.6,14,psme,50
110,16,4,24.9,4,psme,50
110,16,5,44.4,15,psme,50
110,16,6,28.5,4,psme,50
110,16,7,45.7,14,psme,50
110,16,8,33.6,8,psme,50
110,16,9,40.4,7,psme,50
110,16,10,43.5,20,psme,50
110,17,1,44.6,14,psme,50
110,17,2,34.1,7,psme,50
110,17,3,39.4,10,psme,50
110,17,4,27.9,5,psme,50
110,17,5,32.4,3,psme,50
110,17,6,36.6,15,psme,50
110,17,7,34.2,10,psme,50
110,17,8,44.5,12,psme,50
110,17,9,32.3,10,psme,50
110,17,10,46,11,psme,50
110,17,11,37.7,16,psme,50
110,18,1,34.9,10,psme,50
110,18,2,40.7,17,psme,50
110,18,3,27.5,2,psme,50
110,18,4,43.8,7,psme,50
110,18,5,44.1,11,psme,50
110,18,6,47.5,18,psme,50
110,18,7,32.7,7,psme,50
110,18,8,37.5,12,psme,50
110,18,9,43.2,10,psme,50
110,18,10,42.7,9,psme,50
110,18,11,39.4,12,psme,50
110,19,1,43.1,12,psme,50
110,19,2,33.1,10,psme,50
110,19,3,39.2,12,psme,50
110,19,4,46.7,11,psme,50
110,19,5,32.4,11,psme,50
110,19,6,28,6,psme,50
110,19,7,43.2,2,psme,50
110,19,8,31.5,10,psme,50
110,19,9,38.5,8,psme,50
110,19,10,25,7,psme,50
110,19,11,42.3,8,psme,50
110,19,12,35.5,10,psme,50
110,20,1,33.1,5,psme,50
110,20,2,51.5,13,psme,50
110,20,3,44.9,10,psme,50
110,20,4,29.4,3,psme,50
110,20,5,48.5,16,psme,50
110,20,6,42.2,8,psme,50
110,20,7,46.2,13,psme,50
110,21,1,35.3,5,psme,50
110,21,2,31.6,6,psme,50
110,21,3,37.6,7,psme,50
110,21,4,34.2,10,psme,50
110,21,5,54.9,15,psme,50
110,21,6,37,14,psme,50
110,21,7,47.5,12,psme,50
110,21,8,43.1,12,psme,50
110,22,1,27.9,10,psme,50
110,22,2,23.5,4,psme,50
110,22,3,41.7,17,psme,50
110,22,4,20.3,2,psme,50
110,22,5,45.1,18,psme,50
110,22,6,43.3,13,psme,50
110,22,7,36.7,9,psme,50
110,22,8,47.1,21,psme,50
110,22,9,34.6,6,psme,50
110,22,10,49.7,21,psme,50
110,23,1,48.9,14,psme,50
110,23,2,36.7,11,psme,50
110,23,3,52.7,16,psme,50
110,23,4,37.7,18,psme,50
110,23,5,41.5,11,psme,50
110,23,6,18.3,3,psme,50
110,23,7,46.9,20,psme,50
110,23,8,51.3,21,psme,50
110,23,9,36.9,7,psme,50
134,1,1,27.6,15,psme,50
134,1,2,28.8,19,psme,50
134,1,3,27.7,23,psme,50
134,1,4,38.5,20,psme,50
134,1,5,32.9,16,psme,50
134,1,6,33.7,24,psme,50
134,1,7,24.4,20,psme,50
134,1,8,39.3,30,psme,50
134,1,9,32,24,psme,50
134,1,10,35.5,37,psme,50
134,1,11,27.6,16,psme,50
134,1,12,45.7,19,psme,50
134,2,1,36.3,,psme,50
134,2,2,29.7,20,psme,50
134,2,3,14.7,8,psme,50
134,2,4,27.8,14,psme,50
134,2,5,28.3,19,psme,50
134,2,6,24.9,17,psme,50
134,2,7,31.9,21,psme,50
134,2,8,25.8,20,psme,50
134,2,9,31.4,17,psme,50
134,2,10,28,17,psme,50
134,3,1,28.2,15,psme,50
134,3,2,29.1,19,psme,50
134,3,3,23.4,11,psme,50
134,3,4,25.2,12,psme,50
134,3,5,26.7,11,psme,50
134,3,6,27.4,11,psme,50
134,3,7,19,10,psme,50
134,3,8,33.2,16,psme,50
134,3,9,26.2,22,psme,50
134,3,10,32.9,17,psme,50
134,3,11,25.8,14,psme,50
134,3,12,20.7,13,psme,50
134,3,13,22.6,14,psme,50
134,3,14,35.8,21,psme,50
73,1,1,29.6,17,psme,50
73,1,2,42,9,psme,50
73,1,3,44.2,9,psme,50
73,1,4,38.6,12,psme,50
73,1,5,43.6,13,psme,50
73,1,6,36,17,psme,50
73,1,7,32.8,11,psme,50
73,1,8,42,4,psme,50
73,1,9,19.7,2,psme,50
73,1,10,32.5,19,psme,50
73,1,11,24.1,4,psme,50
73,1,12,32.2,9,psme,50
73,1,13,19.8,2,psme,50
73,1,14,44.9,18,psme,50
73,2,1,40.6,16,psme,50
73,2,2,34.5,13,psme,50
73,2,3,43.2,19,psme,50
73,2,4,30.5,15,psme,50
73,2,5,42.8,13,psme,50
73,2,6,37.8,12,psme,50
73,2,7,26,4,psme,50
73,2,8,29.7,3,psme,50
73,2,9,33.3,6,psme,50
73,2,10,27,4,psme,50
73,2,11,33.5,12,psme,50
73,2,12,23.4,5,psme,50
73,2,13,27.8,5,psme,50
73,2,14,27.9,5,psme,50
73,3,1,32.7,12,psme,50
73,3,2,41.1,8,psme,50
73,3,3,24.7,7,psme,50
73,3,4,29.6,5,psme,50
73,3,5,34.1,8,psme,50
73,3,6,31.1,11,psme,50
73,3,7,25.1,2,psme,50
73,3,8,25.3,6,psme,50
73,3,9,30.9,5,psme,50
73,3,10,19.4,2,psme,50
73,4,1,51.4,18,psme,50
73,4,2,35,11,psme,50
73,4,3,28.5,6,psme,50
73,4,4,28,10,psme,50
73,4,5,23,5,psme,50
73,4,6,29.5,4,psme,50
73,4,7,26.1,5,psme,50
73,4,8,40.1,8,psme,50
73,4,9,32.3,8,psme,50
73,4,10,29.4,5,psme,50
73,4,11,29.8,8,psme,50
73,4,12,23,5,psme,50
73,5,1,33.6,13,psme,50
73,5,2,37.8,14,psme,50
73,5,3,35.4,14,psme,50
73,5,4,30.9,7,psme,50
73,5,5,45.8,11,psme,50
73,5,6,17.9,1,psme,50
73,5,7,23.3,6,psme,50
73,5,8,37.6,12,psme,50
73,5,9,31.4,10,psme,50
73,5,10,51.2,14,psme,50
73,5,11,26.3,2,psme,50
73,5,12,28,4,psme,50
73,5,13,39.8,17,psme,50
73,6,1,32.4,10,psme,50
73,6,2,42.9,11,psme,50
73,6,3,22.5,6,psme,50
73,6,4,39,13,psme,50
73,6,5,34.5,7,psme,50
73,6,6,33.3,7,psme,50
73,6,7,38.5,7,psme,50
73,6,8,23.9,4,psme,50
73,6,9,26.8,3,psme,50
73,6,10,27.6,3,psme,50
73,6,11,17.1,2,psme,50
73,6,12,28.6,10,psme,50
73,6,13,28,3,psme,50
73,6,14,24,3,psme,50
73,6,15,28.4,7,psme,50
73,7,1,28.9,5,psme,50
73,7,2,43.8,12,psme,50
73,7,3,29,8,psme,50
73,7,4,31.2,7,psme,50
73,7,5,25.7,8,psme,50
73,7,6,31.3,4,psme,50
73,7,7,32.4,12,psme,50
73,7,8,20.9,3,psme,50
73,7,9,28.1,7,psme,50
73,7,10,23.8,3,psme,50
73,7,11,41.7,7,psme,50
73,7,12,23.2,2,psme,50
73,7,13,39.6,14,psme,50
73,7,14,32.9,8,psme,50
73,7,15,29.6,9,psme,50
73,7,16,36.4,12,psme,50
73,7,17,24.7,8,psme,50
73,8,1,25,10,psme,50
73,8,2,34.2,8,psme,50
